STA_TYPE	TX_CODE	KEY_VAL1	NAME	KEY_VAL2	MSG_TYPE	KEY_VAL3	CALL_TYPE	TIMEOUT	RES_FLAG	CONV_TYPE	REQ_UID_OFFSET	PACKAGE_NAME	UID_LEN	RES_UID_OFFSET	REQ_HEAD_MAPP_CLASS	EBSOAP_REQ_ACTION	EBSOAP_RES_ACTION	UID_NAME	REQ_USER_CLASS	RES_HEAD_MAPP_CLASS	RES_USER_CLASS	ERR_MAPP_CLASS	ERR_USER_CLASS	RES_BODY_MAPP_CLASS	FRMT_MAPP_CLASS	FRMT_USER_CLASS	SYS_MAPP_CLASS	SYS_USER_CLASS	FILE_LOG_FLAG	DB_LOG_FLAG	REP_KIND_CODE	REQ_BODY_MAPP_CLASS	ERR_CODE_OFFSET	ERR_CODE_TYPE	ERR_CODE_NAME	TX_UID_OFFSET	TX_UID_LEN	TX_UID_NAME	ERR_MSG_OFFSET	APPL_CODE	ERR_MSG_NAME	REQ_CACHE_FLAG	DLY_SVCNAME	TX_TIME_LIMIT	REQ_HEADER_SIZE	RES_HEADER_SIZE	REQ_PACKET_SIZE	RES_PACKET_SIZE	REQ_ENCODING	RES_ENCODING	FRQ_HEAD_MAPP_CLASS	FRQ_BODY_MAPP_CLASS	FRQ_USER_CLASS	FRS_HEAD_MAPP_CLASS	FRS_BODY_MAPP_CLASS	FRS_USER_CLASS	POST_SVCNAME	MAPPER_UID_OFFSET	MAPPER_UID_LEN	MAPPER_UID_NAME	
N	C	C	C	C	N	C	N	N	N	N	N	C	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N	C	C	N	N	C	N	N	C	N	C	C	N	C	N	N	N	N	N	C	C	C	C	C	C	C	C	C	N	N	C	
1	600001	0200600001	AnyToSimul일반	<NODATA>	8	<NODATA>	1	10	1	1	-1	600001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap21_0200_600001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap21_0200_600001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP21	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500002	0200500002	SimulToAny배열1차	<NODATA>	8	<NODATA>	1	10	1	1	-1	500002	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap21_0200_500002_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap21_0200_500002_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP21	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500001	0200500001	SimulToAny일반	<NODATA>	8	<NODATA>	1	10	1	1	-1	500001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap21_0200_500001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap21_0200_500001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP21	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	600002	0200	AnyToSimul배열1차	600002	8	<NODATA>	1	10	1	1	-1	600002	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap22_0200_600002_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap22_0200_600002_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP22	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	600001	0200	AnyToSimul일반	600001	8	<NODATA>	1	10	1	1	-1	600001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap22_0200_600001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap22_0200_600001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP22	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500002	0200	SimulToAny배열1차	500002	8	<NODATA>	1	10	1	1	-1	500002	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap22_0200_500002_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap22_0200_500002_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP22	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500001	0200	SimulToAny일반	500001	8	<NODATA>	1	10	1	1	-1	500001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap22_0200_500001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap22_0200_500001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP22	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	600002	0200	AnyToSimul배열1차	600002	8	R	1	10	1	1	-1	600002	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap23_0200_600002_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap23_0200_600002_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP23	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	600001	0200	AnyToSimul일반	600001	8	R	1	10	1	1	-1	600001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap23_0200_600001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap23_0200_600001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP23	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500001	0200	SimulToAny일반	500001	8	S	1	10	1	1	-1	500001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap23_0200_500001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap23_0200_500001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP23	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
